question_id,category,question,reference_answer
Q062,differential_diagnosis,[differential_diagnosis question Q062 — fill in actual question text from your evaluation set],[Reference answer for Q062 agreed by the three expert raters]
Q063,differential_diagnosis,[differential_diagnosis question Q063 — fill in actual question text from your evaluation set],[Reference answer for Q063 agreed by the three expert raters]
Q064,differential_diagnosis,[differential_diagnosis question Q064 — fill in actual question text from your evaluation set],[Reference answer for Q064 agreed by the three expert raters]
Q065,differential_diagnosis,[differential_diagnosis question Q065 — fill in actual question text from your evaluation set],[Reference answer for Q065 agreed by the three expert raters]
Q066,differential_diagnosis,[differential_diagnosis question Q066 — fill in actual question text from your evaluation set],[Reference answer for Q066 agreed by the three expert raters]
Q067,differential_diagnosis,[differential_diagnosis question Q067 — fill in actual question text from your evaluation set],[Reference answer for Q067 agreed by the three expert raters]
Q068,differential_diagnosis,[differential_diagnosis question Q068 — fill in actual question text from your evaluation set],[Reference answer for Q068 agreed by the three expert raters]
Q069,differential_diagnosis,[differential_diagnosis question Q069 — fill in actual question text from your evaluation set],[Reference answer for Q069 agreed by the three expert raters]
Q070,differential_diagnosis,[differential_diagnosis question Q070 — fill in actual question text from your evaluation set],[Reference answer for Q070 agreed by the three expert raters]
Q071,procedure_appropriateness,[procedure_appropriateness question Q071 — fill in actual question text from your evaluation set],[Reference answer for Q071 agreed by the three expert raters]
Q072,procedure_appropriateness,[procedure_appropriateness question Q072 — fill in actual question text from your evaluation set],[Reference answer for Q072 agreed by the three expert raters]
Q073,procedure_appropriateness,[procedure_appropriateness question Q073 — fill in actual question text from your evaluation set],[Reference answer for Q073 agreed by the three expert raters]
Q074,procedure_appropriateness,[procedure_appropriateness question Q074 — fill in actual question text from your evaluation set],[Reference answer for Q074 agreed by the three expert raters]
Q075,procedure_appropriateness,[procedure_appropriateness question Q075 — fill in actual question text from your evaluation set],[Reference answer for Q075 agreed by the three expert raters]
Q076,procedure_appropriateness,[procedure_appropriateness question Q076 — fill in actual question text from your evaluation set],[Reference answer for Q076 agreed by the three expert raters]
Q077,procedure_appropriateness,[procedure_appropriateness question Q077 — fill in actual question text from your evaluation set],[Reference answer for Q077 agreed by the three expert raters]
Q078,procedure_appropriateness,[procedure_appropriateness question Q078 — fill in actual question text from your evaluation set],[Reference answer for Q078 agreed by the three expert raters]
Q079,procedure_appropriateness,[procedure_appropriateness question Q079 — fill in actual question text from your evaluation set],[Reference answer for Q079 agreed by the three expert raters]
Q080,procedure_appropriateness,[procedure_appropriateness question Q080 — fill in actual question text from your evaluation set],[Reference answer for Q080 agreed by the three expert raters]
Q081,procedure_appropriateness,[procedure_appropriateness question Q081 — fill in actual question text from your evaluation set],[Reference answer for Q081 agreed by the three expert raters]
Q082,procedure_appropriateness,[procedure_appropriateness question Q082 — fill in actual question text from your evaluation set],[Reference answer for Q082 agreed by the three expert raters]
Q083,procedure_appropriateness,[procedure_appropriateness question Q083 — fill in actual question text from your evaluation set],[Reference answer for Q083 agreed by the three expert raters]
Q084,procedure_appropriateness,[procedure_appropriateness question Q084 — fill in actual question text from your evaluation set],[Reference answer for Q084 agreed by the three expert raters]
Q085,procedure_appropriateness,[procedure_appropriateness question Q085 — fill in actual question text from your evaluation set],[Reference answer for Q085 agreed by the three expert raters]
Q086,procedure_appropriateness,[procedure_appropriateness question Q086 — fill in actual question text from your evaluation set],[Reference answer for Q086 agreed by the three expert raters]
Q087,procedure_appropriateness,[procedure_appropriateness question Q087 — fill in actual question text from your evaluation set],[Reference answer for Q087 agreed by the three expert raters]
Q088,procedure_appropriateness,[procedure_appropriateness question Q088 — fill in actual question text from your evaluation set],[Reference answer for Q088 agreed by the three expert raters]
Q089,procedure_appropriateness,[procedure_appropriateness question Q089 — fill in actual question text from your evaluation set],[Reference answer for Q089 agreed by the three expert raters]
Q090,procedure_appropriateness,[procedure_appropriateness question Q090 — fill in actual question text from your evaluation set],[Reference answer for Q090 agreed by the three expert raters]
Q091,procedure_appropriateness,[procedure_appropriateness question Q091 — fill in actual question text from your evaluation set],[Reference answer for Q091 agreed by the three expert raters]
Q092,procedure_appropriateness,[procedure_appropriateness question Q092 — fill in actual question text from your evaluation set],[Reference answer for Q092 agreed by the three expert raters]
Q093,procedure_appropriateness,[procedure_appropriateness question Q093 — fill in actual question text from your evaluation set],[Reference answer for Q093 agreed by the three expert raters]
Q094,procedure_appropriateness,[procedure_appropriateness question Q094 — fill in actual question text from your evaluation set],[Reference answer for Q094 agreed by the three expert raters]
Q095,procedure_appropriateness,[procedure_appropriateness question Q095 — fill in actual question text from your evaluation set],[Reference answer for Q095 agreed by the three expert raters]
Q096,lab_result_interpretation,[lab_result_interpretation question Q096 — fill in actual question text from your evaluation set],[Reference answer for Q096 agreed by the three expert raters]
Q097,lab_result_interpretation,[lab_result_interpretation question Q097 — fill in actual question text from your evaluation set],[Reference answer for Q097 agreed by the three expert raters]
Q098,lab_result_interpretation,[lab_result_interpretation question Q098 — fill in actual question text from your evaluation set],[Reference answer for Q098 agreed by the three expert raters]
Q099,lab_result_interpretation,[lab_result_interpretation question Q099 — fill in actual question text from your evaluation set],[Reference answer for Q099 agreed by the three expert raters]
Q100,lab_result_interpretation,[lab_result_interpretation question Q100 — fill in actual question text from your evaluation set],[Reference answer for Q100 agreed by the three expert raters]
Q101,lab_result_interpretation,[lab_result_interpretation question Q101 — fill in actual question text from your evaluation set],[Reference answer for Q101 agreed by the three expert raters]
Q102,lab_result_interpretation,[lab_result_interpretation question Q102 — fill in actual question text from your evaluation set],[Reference answer for Q102 agreed by the three expert raters]
Q103,lab_result_interpretation,[lab_result_interpretation question Q103 — fill in actual question text from your evaluation set],[Reference answer for Q103 agreed by the three expert raters]
Q104,lab_result_interpretation,[lab_result_interpretation question Q104 — fill in actual question text from your evaluation set],[Reference answer for Q104 agreed by the three expert raters]
Q105,lab_result_interpretation,[lab_result_interpretation question Q105 — fill in actual question text from your evaluation set],[Reference answer for Q105 agreed by the three expert raters]
Q106,lab_result_interpretation,[lab_result_interpretation question Q106 — fill in actual question text from your evaluation set],[Reference answer for Q106 agreed by the three expert raters]
Q107,lab_result_interpretation,[lab_result_interpretation question Q107 — fill in actual question text from your evaluation set],[Reference answer for Q107 agreed by the three expert raters]
Q108,lab_result_interpretation,[lab_result_interpretation question Q108 — fill in actual question text from your evaluation set],[Reference answer for Q108 agreed by the three expert raters]
Q109,lab_result_interpretation,[lab_result_interpretation question Q109 — fill in actual question text from your evaluation set],[Reference answer for Q109 agreed by the three expert raters]
Q110,lab_result_interpretation,[lab_result_interpretation question Q110 — fill in actual question text from your evaluation set],[Reference answer for Q110 agreed by the three expert raters]
Q111,lab_result_interpretation,[lab_result_interpretation question Q111 — fill in actual question text from your evaluation set],[Reference answer for Q111 agreed by the three expert raters]
Q112,lab_result_interpretation,[lab_result_interpretation question Q112 — fill in actual question text from your evaluation set],[Reference answer for Q112 agreed by the three expert raters]
Q113,lab_result_interpretation,[lab_result_interpretation question Q113 — fill in actual question text from your evaluation set],[Reference answer for Q113 agreed by the three expert raters]
Q114,lab_result_interpretation,[lab_result_interpretation question Q114 — fill in actual question text from your evaluation set],[Reference answer for Q114 agreed by the three expert raters]
Q115,lab_result_interpretation,[lab_result_interpretation question Q115 — fill in actual question text from your evaluation set],[Reference answer for Q115 agreed by the three expert raters]
Q116,lab_result_interpretation,[lab_result_interpretation question Q116 — fill in actual question text from your evaluation set],[Reference answer for Q116 agreed by the three expert raters]
Q117,lab_result_interpretation,[lab_result_interpretation question Q117 — fill in actual question text from your evaluation set],[Reference answer for Q117 agreed by the three expert raters]
Q118,lab_result_interpretation,[lab_result_interpretation question Q118 — fill in actual question text from your evaluation set],[Reference answer for Q118 agreed by the three expert raters]
Q119,lab_result_interpretation,[lab_result_interpretation question Q119 — fill in actual question text from your evaluation set],[Reference answer for Q119 agreed by the three expert raters]
Q120,lab_result_interpretation,[lab_result_interpretation question Q120 — fill in actual question text from your evaluation set],[Reference answer for Q120 agreed by the three expert raters]
Q121,lab_result_interpretation,[lab_result_interpretation question Q121 — fill in actual question text from your evaluation set],[Reference answer for Q121 agreed by the three expert raters]
Q122,lab_result_interpretation,[lab_result_interpretation question Q122 — fill in actual question text from your evaluation set],[Reference answer for Q122 agreed by the three expert raters]
Q123,lab_result_interpretation,[lab_result_interpretation question Q123 — fill in actual question text from your evaluation set],[Reference answer for Q123 agreed by the three expert raters]
Q124,lab_result_interpretation,[lab_result_interpretation question Q124 — fill in actual question text from your evaluation set],[Reference answer for Q124 agreed by the three expert raters]
Q125,lab_result_interpretation,[lab_result_interpretation question Q125 — fill in actual question text from your evaluation set],[Reference answer for Q125 agreed by the three expert raters]
Q126,guideline_adherence,[guideline_adherence question Q126 — fill in actual question text from your evaluation set],[Reference answer for Q126 agreed by the three expert raters]
Q127,guideline_adherence,[guideline_adherence question Q127 — fill in actual question text from your evaluation set],[Reference answer for Q127 agreed by the three expert raters]
Q128,guideline_adherence,[guideline_adherence question Q128 — fill in actual question text from your evaluation set],[Reference answer for Q128 agreed by the three expert raters]
Q129,guideline_adherence,[guideline_adherence question Q129 — fill in actual question text from your evaluation set],[Reference answer for Q129 agreed by the three expert raters]
Q130,guideline_adherence,[guideline_adherence question Q130 — fill in actual question text from your evaluation set],[Reference answer for Q130 agreed by the three expert raters]
Q131,guideline_adherence,[guideline_adherence question Q131 — fill in actual question text from your evaluation set],[Reference answer for Q131 agreed by the three expert raters]
Q132,guideline_adherence,[guideline_adherence question Q132 — fill in actual question text from your evaluation set],[Reference answer for Q132 agreed by the three expert raters]
Q133,guideline_adherence,[guideline_adherence question Q133 — fill in actual question text from your evaluation set],[Reference answer for Q133 agreed by the three expert raters]
Q134,guideline_adherence,[guideline_adherence question Q134 — fill in actual question text from your evaluation set],[Reference answer for Q134 agreed by the three expert raters]
Q135,guideline_adherence,[guideline_adherence question Q135 — fill in actual question text from your evaluation set],[Reference answer for Q135 agreed by the three expert raters]
Q136,guideline_adherence,[guideline_adherence question Q136 — fill in actual question text from your evaluation set],[Reference answer for Q136 agreed by the three expert raters]
Q137,guideline_adherence,[guideline_adherence question Q137 — fill in actual question text from your evaluation set],[Reference answer for Q137 agreed by the three expert raters]
Q138,guideline_adherence,[guideline_adherence question Q138 — fill in actual question text from your evaluation set],[Reference answer for Q138 agreed by the three expert raters]
Q139,guideline_adherence,[guideline_adherence question Q139 — fill in actual question text from your evaluation set],[Reference answer for Q139 agreed by the three expert raters]
Q140,guideline_adherence,[guideline_adherence question Q140 — fill in actual question text from your evaluation set],[Reference answer for Q140 agreed by the three expert raters]
Q141,guideline_adherence,[guideline_adherence question Q141 — fill in actual question text from your evaluation set],[Reference answer for Q141 agreed by the three expert raters]
Q142,guideline_adherence,[guideline_adherence question Q142 — fill in actual question text from your evaluation set],[Reference answer for Q142 agreed by the three expert raters]
Q143,guideline_adherence,[guideline_adherence question Q143 — fill in actual question text from your evaluation set],[Reference answer for Q143 agreed by the three expert raters]
Q144,guideline_adherence,[guideline_adherence question Q144 — fill in actual question text from your evaluation set],[Reference answer for Q144 agreed by the three expert raters]
Q145,guideline_adherence,[guideline_adherence question Q145 — fill in actual question text from your evaluation set],[Reference answer for Q145 agreed by the three expert raters]
Q146,guideline_adherence,[guideline_adherence question Q146 — fill in actual question text from your evaluation set],[Reference answer for Q146 agreed by the three expert raters]
Q147,guideline_adherence,[guideline_adherence question Q147 — fill in actual question text from your evaluation set],[Reference answer for Q147 agreed by the three expert raters]
Q148,guideline_adherence,[guideline_adherence question Q148 — fill in actual question text from your evaluation set],[Reference answer for Q148 agreed by the three expert raters]
Q149,guideline_adherence,[guideline_adherence question Q149 — fill in actual question text from your evaluation set],[Reference answer for Q149 agreed by the three expert raters]
Q150,guideline_adherence,[guideline_adherence question Q150 — fill in actual question text from your evaluation set],[Reference answer for Q150 agreed by the three expert raters]
